Date,Close
2018-05-23,55.81
2018-05-24,55.57
2018-05-25,55.77
2018-05-29,56.75
2018-05-30,58.34
2018-05-31,56.95
2018-06-01,58.36
2018-06-04,59.35
2018-06-05,58.23
2018-06-06,63.9
2018-06-07,63.22
2018-06-08,63.53
2018-06-11,66.42
2018-06-12,68.55
2018-06-13,68.96
2018-06-14,71.54
2018-06-15,71.63
2018-06-18,74.17
2018-06-19,70.51
2018-06-20,72.44
2018-06-21,69.5
2018-06-22,66.73
2018-06-25,66.6
2018-06-26,68.4
2018-06-27,68.9
2018-06-28,69.99
2018-06-29,68.59
2018-07-02,67.01
2018-07-03,62.17
2018-07-05,61.83
2018-07-06,61.78
2018-07-09,63.7
2018-07-10,64.49
2018-07-11,63.79
2018-07-12,63.34
2018-07-13,63.77
2018-07-16,62.02
2018-07-17,64.54
2018-07-18,64.77
2018-07-19,64.05
2018-07-20,62.72
2018-07-23,60.64
2018-07-24,59.49
2018-07-25,61.75
2018-07-26,61.33
2018-07-27,59.44
2018-07-30,58.03
2018-07-31,59.63
2018-08-01,60.17
2018-08-02,69.91
2018-08-03,69.63
2018-08-06,68.4
2018-08-07,75.91
2018-08-08,74.07
2018-08-09,70.49
2018-08-10,71.1
2018-08-13,71.28
2018-08-14,69.53
2018-08-15,67.74
2018-08-16,67.09
2018-08-17,61.1
2018-08-20,61.69
2018-08-21,64.38
2018-08-22,64.33
2018-08-23,64.02
2018-08-24,64.56
2018-08-27,63.85
2018-08-28,62.37
2018-08-29,61
2018-08-30,60.63
2018-08-31,60.33
2018-09-04,57.79
2018-09-05,56.15
2018-09-06,56.19
2018-09-07,52.65
2018-09-10,57.1
2018-09-11,55.89
2018-09-12,58.11
2018-09-13,57.89
2018-09-14,59.04
2018-09-17,58.97
2018-09-18,56.99
2018-09-19,59.8
2018-09-20,59.67
2018-09-21,59.82
2018-09-24,59.94
2018-09-25,60.2
2018-09-26,61.92
2018-09-27,61.5
2018-09-28,52.95
2018-10-01,62.14
2018-10-02,60.2
2018-10-03,58.96
2018-10-04,56.37
2018-10-05,52.39
2018-10-08,50.11
2018-10-09,52.56
2018-10-10,51.38
2018-10-11,50.45
2018-10-12,51.76
2018-10-15,51.92
2018-10-16,55.32
2018-10-17,54.36
2018-10-18,52.78
2018-10-19,52
2018-10-22,52.19
2018-10-23,58.83
2018-10-24,57.7
2018-10-25,62.97
2018-10-26,66.18
2018-10-29,66.97
2018-10-30,65.98
2018-10-31,67.46
2018-11-01,68.86
2018-11-02,69.28
2018-11-05,68.28
2018-11-06,68.21
2018-11-07,69.63
2018-11-08,70.28
2018-11-09,70.1
2018-11-12,66.26
2018-11-13,67.75
2018-11-14,68.8
2018-11-15,69.69
2018-11-16,70.86
2018-11-19,70.69
2018-11-20,69.5
2018-11-21,67.64
2018-11-23,65.17
2018-11-26,69.2
2018-11-27,68.78
2018-11-28,69.57
2018-11-29,68.23
2018-11-30,70.1
2018-12-03,71.7
2018-12-04,71.94
2018-12-06,72.61
2018-12-07,71.59
2018-12-10,73.03
2018-12-11,73.35
2018-12-12,73.32
2018-12-13,75.36
2018-12-14,73.14
2018-12-17,69.68
2018-12-18,67.41
2018-12-19,66.59
2018-12-20,63.08
2018-12-21,63.95
2018-12-24,59.08
2018-12-26,65.22
2018-12-27,63.23
2018-12-28,66.77
2018-12-31,66.56
2019-01-02,62.02
2019-01-03,60.07
2019-01-04,63.54
2019-01-07,66.99
2019-01-08,67.07
2019-01-09,67.71
2019-01-10,68.99
2019-01-11,69.45
2019-01-14,66.88
2019-01-15,68.89
2019-01-16,69.21
2019-01-17,69.46
2019-01-18,60.45
2019-01-22,59.78
2019-01-23,57.52
2019-01-24,58.3
2019-01-25,59.41
2019-01-28,59.28
2019-01-29,59.49
2019-01-30,61.75
2019-01-31,61.4
2019-02-01,62.44
2019-02-04,62.58
2019-02-05,64.27
2019-02-06,63.44
2019-02-07,61.5
2019-02-08,61.16
2019-02-11,62.57
2019-02-12,62.36
2019-02-13,61.63
2019-02-14,60.75
2019-02-15,61.58
2019-02-19,61.13
2019-02-20,60.51
2019-02-21,58.25
2019-02-22,58.94
2019-02-25,59.75
2019-02-26,59.57
2019-02-27,62.95
2019-02-28,63.98
2019-03-01,58.96
2019-03-04,57.07
2019-03-05,55.31
2019-03-06,55.25
2019-03-07,55.32
2019-03-08,56.83
2019-03-11,58.18
2019-03-12,56.67
2019-03-13,57.79
2019-03-14,57.99
2019-03-15,55.09
2019-03-18,53.9
2019-03-19,53.49
2019-03-20,54.72
2019-03-21,54.8
2019-03-22,52.91
2019-03-25,52.08
2019-03-26,53.55
2019-03-27,54.97
2019-03-28,55.72
2019-03-29,55.97
2019-04-01,57.84
2019-04-02,57.18
2019-04-03,58.36
2019-04-04,53.56
2019-04-05,54.99
2019-04-08,54.64
2019-04-09,54.46
2019-04-10,55.21
2019-04-11,53.68
2019-04-12,53.54
2019-04-15,53.28
2019-04-16,54.67
2019-04-17,54.25
2019-04-18,54.65
2019-04-22,52.55
2019-04-23,52.78
2019-04-24,51.73
2019-04-25,49.53
2019-04-26,47.03
2019-04-29,48.29
2019-04-30,47.74
2019-05-01,46.8
2019-05-02,48.82
2019-05-03,51.01
2019-05-06,51.07
2019-05-07,49.41
2019-05-08,48.97
2019-05-09,48.4
2019-05-10,47.9
2019-05-13,45.4
2019-05-14,46.46
2019-05-15,46.39
2019-05-16,45.67
2019-05-17,42.21
2019-05-20,41.07
2019-05-21,41.02
2019-05-22,38.55
2019-05-23,39.1
2019-05-24,38.13
2019-05-28,37.74
2019-05-29,37.97
2019-05-30,37.64
2019-05-31,37.03
2019-06-03,35.79
2019-06-04,38.72
2019-06-05,39.32
2019-06-06,41.19
2019-06-07,40.9
2019-06-10,42.58
2019-06-11,43.42
2019-06-12,41.85
2019-06-13,42.78
2019-06-14,42.98
2019-06-17,45.01
2019-06-18,44.95
2019-06-19,45.29
2019-06-20,43.92
2019-06-21,44.37
2019-06-24,44.73
2019-06-25,43.95
2019-06-26,43.85
2019-06-27,44.57
2019-06-28,44.69
2019-07-01,45.43
2019-07-02,44.91
2019-07-03,46.98
2019-07-05,46.62
2019-07-08,46.07
2019-07-09,46.01
2019-07-10,47.78
2019-07-11,47.72
2019-07-12,49.02
2019-07-15,50.7
2019-07-16,50.48
2019-07-17,50.97
2019-07-18,50.71
2019-07-19,51.64
2019-07-22,51.14
2019-07-23,52.03
2019-07-24,52.98
2019-07-25,45.76
2019-07-26,45.61
2019-07-29,47.15
2019-07-30,48.45
2019-07-31,48.32
2019-08-01,46.77
2019-08-02,46.87
2019-08-05,45.66
2019-08-06,46.15
2019-08-07,46.68
2019-08-08,47.66
2019-08-09,47
2019-08-12,45.8
2019-08-13,47
2019-08-14,43.92
2019-08-15,43.13
2019-08-16,43.99
2019-08-19,45.37
2019-08-20,45.17
2019-08-21,44.17
2019-08-22,44.43
2019-08-23,42.28
2019-08-26,43
2019-08-27,42.82
2019-08-28,43.12
2019-08-29,44.34
2019-08-30,45.12
2019-09-03,45
2019-09-04,44.14
2019-09-05,45.92
2019-09-06,45.49
2019-09-09,46.36
2019-09-10,47.11
2019-09-11,49.42
2019-09-12,49.17
2019-09-13,49.04
2019-09-16,48.56
2019-09-17,48.96
2019-09-18,48.7
2019-09-19,49.32
2019-09-20,48.12
2019-09-23,48.25
2019-09-24,44.64
2019-09-25,45.74
2019-09-26,48.51
2019-09-27,48.43
2019-09-30,48.17
2019-10-01,48.94
2019-10-02,48.63
2019-10-03,46.61
2019-10-04,46.29
2019-10-07,47.54
2019-10-08,48.01
2019-10-09,48.91
2019-10-10,48.95
2019-10-11,49.58
2019-10-14,51.39
2019-10-15,51.58
2019-10-16,51.95
2019-10-17,52.39
2019-10-18,51.39
2019-10-21,50.7
2019-10-22,51.12
2019-10-23,50.94
2019-10-24,59.94
2019-10-25,65.63
2019-10-28,65.54
2019-10-29,63.24
2019-10-30,63
2019-10-31,62.98
2019-11-01,62.66
2019-11-04,63.49
2019-11-05,63.44
2019-11-06,65.32
2019-11-07,67.11
2019-11-08,67.43
2019-11-11,69.02
2019-11-12,69.99
2019-11-13,69.22
2019-11-14,69.87
2019-11-15,70.43
2019-11-18,70
2019-11-19,71.9
2019-11-20,70.44
2019-11-21,70.97
2019-11-22,66.61
2019-11-25,67.27
2019-11-26,65.78
2019-11-27,66.26
2019-11-29,65.99
2019-12-02,66.97
2019-12-03,67.24
2019-12-04,66.61
2019-12-05,66.07
2019-12-06,67.18
2019-12-09,67.91
2019-12-10,69.77
2019-12-11,70.54
2019-12-12,71.94
2019-12-13,71.68
2019-12-16,76.3
2019-12-17,75.8
2019-12-18,78.63
2019-12-19,80.81
2019-12-20,81.12
2019-12-23,83.84
2019-12-24,85.05
2019-12-26,86.19
2019-12-27,86.08
